material,P_W,v_mm_per_s,melt_width_um,melt_depth_um
IN718,200.0,1000.0,128.0,105.0
IN718,200.0,1100.0,110.0,106.0
IN718,200.0,400.0,190.0,346.0
IN718,200.0,500.0,176.0,299.0
IN718,200.0,600.0,150.0,236.0
IN718,200.0,700.0,164.0,166.0
IN718,200.0,800.0,148.0,143.0
IN718,200.0,900.0,112.0,145.0
IN718,200.0,1000.0,100.0,101.0
IN718,200.0,1100.0,92.0,106.0
IN718,200.0,400.0,186.0,326.0
IN718,200.0,500.0,220.0,304.0
IN718,200.0,600.0,178.0,217.0
IN718,200.0,700.0,158.0,162.0
IN718,200.0,800.0,168.0,170.0
IN718,200.0,900.0,136.0,155.0
IN718,200.0,1000.0,116.0,100.0
IN718,200.0,1100.0,112.0,112.0
IN718,300.0,400.0,176.0,473.0
IN718,300.0,500.0,158.0,460.0
IN718,300.0,600.0,156.0,369.0
IN718,300.0,700.0,132.0,313.0
IN718,300.0,800.0,142.0,300.0
IN718,300.0,900.0,122.0,260.0
IN718,300.0,1000.0,110.0,246.0
IN718,300.0,1100.0,132.0,147.0
IN718,300.0,400.0,170.0,556.0
IN718,300.0,500.0,168.0,495.0
IN718,300.0,600.0,128.0,422.0
IN718,300.0,700.0,150.0,328.0
IN718,300.0,800.0,146.0,287.0
IN718,300.0,900.0,122.0,280.0
IN718,300.0,1000.0,132.0,233.0
IN718,300.0,1100.0,134.0,182.0
IN718,300.0,400.0,222.0,539.0
IN718,300.0,500.0,168.0,509.0
IN718,300.0,600.0,154.0,407.0
IN718,300.0,700.0,158.0,264.0
IN718,300.0,800.0,126.0,310.0
IN718,300.0,900.0,152.0,320.0
IN718,300.0,1000.0,128.0,217.0
IN718,300.0,1100.0,144.0,184.0
IN718,300.0,400.0,198.0,505.0
IN718,300.0,500.0,154.0,526.0
IN718,300.0,600.0,150.0,365.0
IN718,300.0,700.0,176.0,307.0
IN718,300.0,800.0,146.0,295.0
IN718,300.0,900.0,136.0,287.0
IN718,300.0,1000.0,136.0,177.0
IN718,300.0,1100.0,134.0,136.0
IN718,300.0,400.0,196.0,546.0
IN718,300.0,500.0,198.0,463.0
IN718,300.0,600.0,204.0,334.0
IN718,300.0,700.0,186.0,378.0
IN718,300.0,800.0,146.0,333.0
IN718,300.0,900.0,146.0,279.0
IN718,300.0,1000.0,140.0,195.0
IN718,300.0,1100.0,126.0,144.0
IN718,300.0,400.0,186.0,551.0
IN718,300.0,500.0,208.0,520.0
IN718,300.0,600.0,180.0,317.0
IN718,300.0,700.0,156.0,365.0
IN718,300.0,800.0,138.0,306.0
IN718,300.0,900.0,150.0,306.0
IN718,300.0,1000.0,124.0,245.0
IN718,300.0,1100.0,122.0,123.0
IN718,300.0,400.0,206.0,604.0
IN718,300.0,500.0,184.0,460.0
IN718,300.0,600.0,180.0,362.0
IN718,300.0,700.0,164.0,353.0
IN718,300.0,800.0,166.0,246.0
IN718,300.0,900.0,148.0,326.0
IN718,300.0,1000.0,134.0,227.0
IN718,300.0,1100.0,146.0,164.0
IN718,300.0,400.0,212.0,550.0
IN718,300.0,500.0,200.0,398.0
IN718,300.0,600.0,190.0,326.0
IN718,300.0,700.0,168.0,293.0
IN718,300.0,800.0,148.0,279.0
IN718,300.0,900.0,140.0,281.0
IN718,300.0,1000.0,146.0,177.0
IN718,300.0,1100.0,106.0,147.0
IN718,300.0,400.0,186.0,558.0
IN718,300.0,500.0,208.0,449.0
IN718,300.0,600.0,166.0,373.0
IN718,300.0,700.0,166.0,331.0
IN718,300.0,800.0,146.0,344.0
IN718,300.0,900.0,148.0,257.0
IN718,300.0,1000.0,138.0,211.0
IN718,300.0,1100.0,146.0,153.0
IN718,400.0,400.0,186.0,653.0
IN718,400.0,500.0,192.0,647.0
IN718,400.0,600.0,198.0,493.0
IN718,400.0,700.0,186.0,489.0
IN718,400.0,800.0,148.0,417.0
IN718,400.0,900.0,164.0,315.0
IN718,400.0,1000.0,160.0,202.0
IN718,400.0,400.0,202.0,723.0
IN718,400.0,500.0,160.0,605.0
IN718,400.0,600.0,196.0,574.0
IN718,400.0,700.0,180.0,547.0
IN718,400.0,800.0,160.0,435.0
IN718,400.0,900.0,172.0,309.0
IN718,400.0,1000.0,146.0,313.0
IN718,400.0,400.0,184.0,733.0
IN718,400.0,500.0,202.0,697.0
IN718,400.0,600.0,216.0,564.0
IN718,400.0,700.0,194.0,512.0
IN718,400.0,800.0,168.0,435.0
IN718,400.0,900.0,158.0,365.0
IN718,400.0,1000.0,186.0,253.0
IN718,400.0,400.0,158.0,724.0
IN718,400.0,500.0,208.0,663.0
IN718,400.0,600.0,176.0,564.0
IN718,400.0,700.0,216.0,470.0
IN718,400.0,800.0,168.0,461.0
IN718,400.0,900.0,138.0,365.0
IN718,400.0,1000.0,170.0,182.0
IN718,400.0,400.0,138.0,783.0
IN718,400.0,500.0,238.0,681.0
IN718,400.0,600.0,198.0,593.0
IN718,400.0,700.0,182.0,560.0
IN718,400.0,800.0,176.0,501.0
IN718,400.0,900.0,168.0,442.0
IN718,400.0,1000.0,128.0,204.0
IN718,400.0,400.0,226.0,817.0
IN718,400.0,500.0,216.0,710.0
IN718,400.0,600.0,234.0,602.0
IN718,400.0,700.0,212.0,459.0
IN718,400.0,800.0,216.0,340.0
IN718,400.0,900.0,148.0,411.0
IN718,400.0,1000.0,122.0,246.0
IN718,400.0,400.0,194.0,817.0
IN718,400.0,500.0,236.0,704.0
IN718,400.0,600.0,234.0,490.0
IN718,400.0,700.0,204.0,524.0
IN718,400.0,800.0,240.0,349.0
IN718,400.0,900.0,164.0,392.0
IN718,400.0,1000.0,186.0,238.0
IN718,400.0,400.0,224.0,789.0
IN718,400.0,500.0,194.0,719.0
IN718,400.0,600.0,226.0,605.0
IN718,400.0,700.0,180.0,514.0
IN718,400.0,800.0,220.0,423.0
IN718,400.0,900.0,230.0,378.0
IN718,400.0,1000.0,168.0,262.0
IN718,400.0,400.0,232.0,809.0
IN718,400.0,500.0,208.0,694.0
IN718,400.0,600.0,240.0,626.0
IN718,400.0,700.0,220.0,550.0
IN718,400.0,800.0,214.0,449.0
IN718,400.0,900.0,224.0,378.0
IN718,400.0,1000.0,196.0,233.0
IN718,500.0,400.0,208.0,897.0
IN718,500.0,500.0,182.0,779.0
IN718,500.0,600.0,154.0,706.0
IN718,500.0,700.0,124.0,584.0
IN718,500.0,800.0,136.0,521.0
IN718,500.0,900.0,130.0,460.0
IN718,500.0,1000.0,68.0,420.0
IN718,500.0,400.0,256.0,905.0
IN718,500.0,500.0,186.0,629.0
IN718,500.0,600.0,170.0,712.0
IN718,500.0,700.0,134.0,599.0
IN718,500.0,800.0,162.0,535.0
IN718,500.0,900.0,132.0,526.0
IN718,500.0,1000.0,96.0,382.0
IN718,500.0,400.0,284.0,949.0
IN718,500.0,500.0,164.0,726.0
IN718,500.0,600.0,162.0,713.0
IN718,500.0,700.0,154.0,645.0
IN718,500.0,800.0,160.0,504.0
IN718,500.0,900.0,110.0,562.0
IN718,500.0,1000.0,106.0,388.0
IN718,500.0,400.0,246.0,976.0
IN718,500.0,500.0,182.0,783.0
IN718,500.0,600.0,202.0,695.0
IN718,500.0,700.0,154.0,645.0
IN718,500.0,800.0,174.0,549.0
IN718,500.0,900.0,128.0,492.0
IN718,500.0,1000.0,128.0,391.0
IN718,500.0,400.0,308.0,977.0
IN718,500.0,500.0,198.0,760.0
IN718,500.0,600.0,190.0,730.0
IN718,500.0,700.0,168.0,639.0
IN718,500.0,800.0,170.0,611.0
IN718,500.0,900.0,130.0,548.0
IN718,500.0,1000.0,150.0,452.0
IN718,500.0,400.0,248.0,973.0
IN718,500.0,500.0,168.0,782.0
IN718,500.0,600.0,218.0,671.0
IN718,500.0,700.0,172.0,632.0
IN718,500.0,800.0,186.0,591.0
IN718,500.0,900.0,108.0,509.0
IN718,500.0,1000.0,120.0,455.0
IN718,500.0,400.0,298.0,986.0
IN718,500.0,500.0,192.0,786.0
IN718,500.0,600.0,168.0,736.0
IN718,500.0,700.0,144.0,671.0
IN718,500.0,800.0,172.0,571.0
IN718,500.0,900.0,136.0,564.0
IN718,500.0,1000.0,128.0,493.0
IN718,500.0,400.0,270.0,1000.0
IN718,500.0,500.0,212.0,764.0
IN718,500.0,600.0,172.0,728.0
IN718,500.0,700.0,172.0,663.0
IN718,500.0,800.0,198.0,608.0
IN718,500.0,900.0,136.0,551.0
IN718,500.0,1000.0,102.0,512.0
IN718,500.0,400.0,246.0,1020.0
IN718,500.0,500.0,168.0,794.0
IN718,500.0,600.0,192.0,776.0
IN718,500.0,700.0,166.0,705.0
IN718,500.0,800.0,138.0,582.0
IN718,500.0,900.0,154.0,489.0
IN718,500.0,1000.0,120.0,472.0
IN718,600.0,400.0,236.0,1108.0
IN718,600.0,500.0,126.0,652.0
IN718,600.0,400.0,276.0,1145.0
IN718,600.0,500.0,122.0,640.0
IN718,600.0,400.0,254.0,1126.0
IN718,600.0,500.0,148.0,639.0
IN718,600.0,400.0,300.0,1204.0
IN718,600.0,500.0,170.0,680.0
IN718,600.0,400.0,260.0,1162.0
IN718,600.0,500.0,164.0,639.0
IN718,600.0,400.0,296.0,1226.0
IN718,600.0,500.0,148.0,662.0
IN718,600.0,400.0,310.0,1140.0
IN718,600.0,500.0,184.0,690.0
IN718,600.0,400.0,312.0,1223.0
IN718,600.0,500.0,192.0,722.0
IN718,600.0,400.0,300.0,1199.0
IN718,600.0,500.0,192.0,677.0
Ti64,200.0,1300.0,147.4782,148.0224
Ti64,200.0,1350.0,132.2406,139.8594
Ti64,200.0,1400.0,136.05,128.4312
Ti64,200.0,1450.0,135.8686,115.4611
Ti64,200.0,1500.0,148.5666,78.0927
Ti64,200.0,1550.0,141.7641,79.9974
Ti64,200.0,1600.0,144.7572,63.6714
Ti64,200.0,1650.0,144.4851,67.4808
Ti64,200.0,1700.0,140.6757,71.0181
Ti64,200.0,1300.0,135.5965,156.2761
Ti64,200.0,1350.0,143.6688,146.3898
Ti64,200.0,1400.0,131.4243,140.6757
Ti64,200.0,1450.0,137.1384,111.2889
Ti64,200.0,1500.0,142.8525,97.956
Ti64,200.0,1550.0,139.8594,106.6632
Ti64,200.0,1600.0,134.1453,97.2304
Ti64,200.0,1650.0,136.8663,87.3441
Ti64,200.0,1700.0,146.3898,116.1867
Ti64,200.0,1300.0,193.4631,40.815
Ti64,200.0,1350.0,179.0418,46.8012
Ti64,200.0,1400.0,175.7766,73.7391
Ti64,200.0,1450.0,162.1716,67.7529
Ti64,200.0,1500.0,122.1729,68.2971
Ti64,200.0,1550.0,177.4092,42.4476
Ti64,200.0,1600.0,187.4769,36.7335
Ti64,200.0,1650.0,175.7766,48.4338
Ti64,200.0,1700.0,141.2199,69.1134
Ti64,200.0,1300.0,133.6011,142.0362
Ti64,200.0,1350.0,138.4989,148.2945
Ti64,200.0,1400.0,142.8525,126.1637
Ti64,200.0,1450.0,141.7641,114.5541
Ti64,200.0,1500.0,143.3967,118.0914
Ti64,200.0,1550.0,145.8456,93.0582
Ti64,200.0,1600.0,131.6964,115.9146
Ti64,200.0,1650.0,133.329,103.1259
Ti64,200.0,1700.0,133.329,97.6839
Ti64,200.0,1300.0,168.8834,109.3842
Ti64,200.0,1350.0,138.8617,144.5758
Ti64,200.0,1400.0,143.3967,134.1453
Ti64,200.0,1450.0,122.9892,139.2245
Ti64,200.0,1500.0,135.3244,139.8594
Ti64,200.0,1550.0,111.2889,132.6941
Ti64,200.0,1600.0,114.6448,122.3543
Ti64,200.0,1650.0,141.4013,71.5623
Ti64,200.0,1700.0,105.5748,106.119
Ti64,200.0,1300.0,160.0855,154.4621
Ti64,200.0,1350.0,155.097,167.7043
Ti64,200.0,1400.0,157.0017,151.5597
Ti64,200.0,1450.0,154.2807,135.2337
Ti64,200.0,1500.0,145.0293,112.6494
Ti64,200.0,1550.0,158.0901,104.7585
Ti64,200.0,1600.0,144.4851,130.608
Ti64,200.0,1650.0,138.4989,133.9639
Ti64,200.0,1700.0,133.8732,126.98
Ti64,200.0,1300.0,147.4782,136.05
Ti64,200.0,1350.0,136.05,136.05
Ti64,200.0,1400.0,133.6011,137.9547
Ti64,200.0,1450.0,128.7033,110.4726
Ti64,200.0,1500.0,119.9054,124.6218
Ti64,200.0,1550.0,142.3083,86.7999
Ti64,200.0,1600.0,127.6149,83.8068
Ti64,200.0,1650.0,134.9616,81.9021
Ti64,200.0,1700.0,136.3221,100.9491
Ti64,200.0,1300.0,148.0224,135.2337
Ti64,200.0,1350.0,181.7628,134.4174
Ti64,200.0,1400.0,155.097,119.9961
Ti64,200.0,1450.0,134.1453,112.3773
Ti64,200.0,1500.0,133.0569,99.9514
Ti64,200.0,1550.0,139.8594,111.2889
Ti64,200.0,1600.0,139.0431,88.5232
Ti64,200.0,1650.0,131.6964,72.3786
Ti64,200.0,1700.0,184.7559,73.1949
Ti64,200.0,1300.0,143.2153,143.2153
Ti64,200.0,1350.0,161.1739,139.0431
Ti64,200.0,1400.0,136.3221,125.166
Ti64,200.0,1450.0,136.3221,121.3566
Ti64,200.0,1500.0,132.1499,71.5623
Ti64,200.0,1550.0,143.5781,81.9021
Ti64,200.0,1600.0,140.7664,61.7667
Ti64,200.0,1650.0,139.3152,60.9504
Ti64,200.0,1700.0,138.6803,68.5692
Ti64,200.0,1300.0,133.7825,152.1946
Ti64,200.0,1350.0,139.0431,146.934
Ti64,200.0,1400.0,136.3221,109.2935
Ti64,200.0,1450.0,139.4059,114.9169
Ti64,200.0,1500.0,144.8479,81.63
Ti64,200.0,1550.0,136.2314,72.9228
Ti64,200.0,1600.0,141.2199,87.5255
Ti64,200.0,1650.0,133.6011,82.9905
Ti64,200.0,1700.0,127.7056,103.1259
Ti64,200.0,1300.0,144.4851,38.3661
Ti64,200.0,1350.0,164.8926,45.1686
Ti64,200.0,1400.0,168.702,65.5761
Ti64,200.0,1450.0,180.9465,64.4877
Ti64,200.0,1500.0,179.8581,60.9504
Ti64,200.0,1550.0,169.5183,41.6313
Ti64,200.0,1600.0,187.2048,33.0148
Ti64,200.0,1650.0,196.1841,44.3523
