material,P_W,v_mm_per_s,melt_width_um,melt_depth_um,LED_J_per_mm,norm_width,norm_depth,h_mm,t_mm,VED_J_per_mm3
316L,500.0,700.0,152.5714286,721.5714286,0.7142857142857143,0.46610321139875477,0.5885574458401305,0.11,0.04,162.33766233766232
316L,500.0,800.0,141.4285714,648.0,0.625,0.4320619654542455,0.5285481239804242,0.11,0.04,142.04545454545453
316L,500.0,900.0,125.4285714,555.5714286,0.5555555555555556,0.3831822279384359,0.45315777210440455,0.11,0.04,126.26262626262627
316L,500.0,1000.0,138.8571429,444.4285714,0.5,0.4242062935717036,0.362502913050571,0.11,0.04,113.63636363636363
316L,500.0,1100.0,142.0,287.5714286,0.45454545454545453,0.43380767045280966,0.2345607084828711,0.11,0.04,103.30578512396694
316L,600.0,600.0,179.7142857,895.2857143,1.0,0.5490241945535752,0.7302493591353997,0.11,0.04,227.27272727272725
316L,600.0,700.0,161.4285714,782.0,0.8571428571428571,0.4931616373490075,0.6378466557911908,0.11,0.04,194.8051948051948
316L,600.0,800.0,153.7142857,681.0,0.75,0.46959462109038475,0.5554649265905384,0.11,0.04,170.45454545454547
316L,600.0,900.0,136.2857143,637.1428571,0.6666666666666666,0.41635062138366313,0.5196923793637847,0.11,0.04,151.51515151515153
IN718,100.0,400.0,98.0,157.0,0.25,0.29938839228433345,0.12805872756933115,0.11,0.04,56.81818181818182
IN718,100.0,500.0,90.0,136.0,0.2,0.2749485235264287,0.11092985318107668,0.11,0.04,45.45454545454545
IN718,100.0,600.0,92.0,55.0,0.16666666666666666,0.28105849071590483,0.044861337683523655,0.11,0.04,37.878787878787875
IN718,100.0,700.0,82.0,71.0,0.14285714285714285,0.2505086547685239,0.05791190864600326,0.11,0.04,32.467532467532465
IN718,100.0,800.0,70.0,30.0,0.125,0.21384885163166673,0.024469820554649267,0.11,0.04,28.40909090909091
IN718,100.0,900.0,60.0,19.0,0.1111111111111111,0.18329901568428578,0.015497553017944535,0.11,0.04,25.252525252525253
IN718,100.0,400.0,112.0,138.0,0.25,0.3421581626106668,0.11256117455138662,0.11,0.04,56.81818181818182
IN718,100.0,500.0,110.0,115.0,0.2,0.3360481954211906,0.09380097879282219,0.11,0.04,45.45454545454545
IN718,100.0,600.0,86.0,44.0,0.16666666666666666,0.26272858914747627,0.03588907014681892,0.11,0.04,37.878787878787875
IN718,100.0,700.0,96.0,55.0,0.14285714285714285,0.29327842509485724,0.044861337683523655,0.11,0.04,32.467532467532465
IN718,100.0,800.0,56.0,14.0,0.125,0.1710790813053334,0.011419249592169658,0.11,0.04,28.40909090909091
IN718,100.0,900.0,62.0,17.0,0.1111111111111111,0.18940898287376196,0.013866231647634585,0.11,0.04,25.252525252525253
IN718,100.0,400.0,110.0,153.0,0.25,0.3360481954211906,0.12479608482871125,0.11,0.04,56.81818181818182
IN718,100.0,500.0,106.0,76.0,0.2,0.3238282610422382,0.06199021207177814,0.11,0.04,45.45454545454545
IN718,100.0,600.0,94.0,56.0,0.16666666666666666,0.28716845790538104,0.04567699836867863,0.11,0.04,37.878787878787875
IN718,100.0,700.0,84.0,44.0,0.14285714285714285,0.25661862195800006,0.03588907014681892,0.11,0.04,32.467532467532465
IN718,100.0,800.0,82.0,37.0,0.125,0.2505086547685239,0.030179445350734094,0.11,0.04,28.40909090909091
IN718,100.0,900.0,60.0,22.0,0.1111111111111111,0.18329901568428578,0.01794453507340946,0.11,0.04,25.252525252525253
IN718,100.0,400.0,106.0,142.0,0.25,0.3238282610422382,0.11582381729200653,0.11,0.04,56.81818181818182
IN718,100.0,500.0,100.0,78.0,0.2,0.3054983594738096,0.0636215334420881,0.11,0.04,45.45454545454545
IN718,100.0,600.0,98.0,76.0,0.16666666666666666,0.29938839228433345,0.06199021207177814,0.11,0.04,37.878787878787875
IN718,100.0,700.0,102.0,48.0,0.14285714285714285,0.3116083266632858,0.03915171288743882,0.11,0.04,32.467532467532465
IN718,100.0,800.0,72.0,19.0,0.125,0.21995881882114293,0.015497553017944535,0.11,0.04,28.40909090909091
IN718,100.0,900.0,82.0,35.0,0.1111111111111111,0.2505086547685239,0.028548123980424143,0.11,0.04,25.252525252525253
IN718,100.0,400.0,122.0,138.0,0.25,0.37270799855804776,0.11256117455138662,0.11,0.04,56.81818181818182
IN718,100.0,500.0,104.0,79.0,0.2,0.317718293852762,0.06443719412724307,0.11,0.04,45.45454545454545
IN718,100.0,600.0,104.0,87.0,0.16666666666666666,0.317718293852762,0.07096247960848287,0.11,0.04,37.878787878787875
IN718,100.0,700.0,88.0,47.0,0.14285714285714285,0.26883855633695247,0.03833605220228385,0.11,0.04,32.467532467532465
IN718,100.0,800.0,78.0,25.0,0.125,0.2382887203895715,0.020391517128874388,0.11,0.04,28.40909090909091
IN718,100.0,900.0,58.0,15.0,0.1111111111111111,0.17718904849480957,0.012234910277324634,0.11,0.04,25.252525252525253
IN718,100.0,400.0,112.0,163.0,0.25,0.3421581626106668,0.132952691680261,0.11,0.04,56.81818181818182
IN718,100.0,500.0,102.0,87.0,0.2,0.3116083266632858,0.07096247960848287,0.11,0.04,45.45454545454545
IN718,100.0,600.0,90.0,50.0,0.16666666666666666,0.2749485235264287,0.040783034257748776,0.11,0.04,37.878787878787875
IN718,100.0,700.0,96.0,49.0,0.14285714285714285,0.29327842509485724,0.0399673735725938,0.11,0.04,32.467532467532465
IN718,100.0,800.0,86.0,44.0,0.125,0.26272858914747627,0.03588907014681892,0.11,0.04,28.40909090909091
IN718,100.0,900.0,72.0,23.0,0.1111111111111111,0.21995881882114293,0.018760195758564437,0.11,0.04,25.252525252525253
IN718,100.0,400.0,136.0,108.0,0.25,0.4154777688843811,0.08809135399673736,0.11,0.04,56.81818181818182
IN718,100.0,500.0,112.0,100.0,0.2,0.3421581626106668,0.08156606851549755,0.11,0.04,45.45454545454545
