P_W,v_mm_per_s,melt_depth_um,melt_width_um,material
400,1000,233,196,IN718
500,400,897,208,IN718
500,500,779,182,IN718
500,600,706,154,IN718
500,700,584,124,IN718
500,800,521,136,IN718
500,900,460,130,IN718
500,1000,420,68,IN718
500,400,905,256,IN718
500,500,629,186,IN718
500,600,712,170,IN718
500,700,599,134,IN718
500,800,535,162,IN718
500,900,526,132,IN718
500,1000,382,96,IN718
500,400,949,284,IN718
500,500,726,164,IN718
500,600,713,162,IN718
500,700,645,154,IN718
500,800,504,160,IN718
500,900,562,110,IN718
500,1000,388,106,IN718
500,400,976,246,IN718
500,500,783,182,IN718
500,600,695,202,IN718
500,700,645,154,IN718
500,800,549,174,IN718
500,900,492,128,IN718
500,1000,391,128,IN718
500,400,977,308,IN718
500,500,760,198,IN718
500,600,730,190,IN718
500,700,639,168,IN718
500,800,611,170,IN718
500,900,548,130,IN718
500,1000,452,150,IN718
500,400,973,248,IN718
500,500,782,168,IN718
500,600,671,218,IN718
500,700,632,172,IN718
500,800,591,186,IN718
500,900,509,108,IN718
500,1000,455,120,IN718
500,400,986,298,IN718
500,500,786,192,IN718
500,600,736,168,IN718
500,700,671,144,IN718
500,800,571,172,IN718
500,900,564,136,IN718
500,1000,493,128,IN718
500,400,1000,270,IN718
500,500,764,212,IN718
500,600,728,172,IN718
500,700,663,172,IN718
500,800,608,198,IN718
500,900,551,136,IN718
500,1000,512,102,IN718
500,400,1020,246,IN718
500,500,794,168,IN718
500,600,776,192,IN718
500,700,705,166,IN718
500,800,582,138,IN718
500,900,489,154,IN718
500,1000,472,120,IN718
600,400,1108,236,IN718
600,500,652,126,IN718
600,400,1145,276,IN718
600,500,640,122,IN718
600,400,1126,254,IN718
600,500,639,148,IN718
600,400,1204,300,IN718
600,500,680,170,IN718
600,400,1162,260,IN718
600,500,639,164,IN718
600,400,1226,296,IN718
600,500,662,148,IN718
600,400,1140,310,IN718
600,500,690,184,IN718
600,400,1223,312,IN718
600,500,722,192,IN718
600,400,1199,300,IN718
600,500,677,192,IN718
